ID,Species,Lk,P1P2,P3P4,hC,dK,dL,phi,Area,Perimeter,Eccentricity,CD,AB,CD/AB
414,5,0.087064103,0.217848304,0.234201371,0.072603782,0.004948423,0.018573506,63.97096981,11759,0.044021941,0.956182724,62.16285475,236.5727484,0.262764224
415,5,0.088546159,0.228666936,0.243659557,0.077430246,0.009278909,0.023895325,29.37335004,12893,0.042521989,0.958296286,63.53024235,245.103813,0.259197283
416,5,0.076611072,0.214327087,0.239985113,0.072767221,0.011020485,0.009607558,73.40926313,12670,0.04251989,0.957666545,63.87693497,246.4918932,0.259144161
417,5,0.088710205,0.191122974,0.222686224,0.094818996,0.00806731,0.015344982,28.01456568,11181,0.046749575,0.965129956,59.10796212,241.6364662,0.24461524
418,5,0.077318993,0.192720469,0.222621255,0.074515683,0.004483553,0.015424874,27.16368141,13012,0.043228866,0.965403312,60.18899959,259.8494005,0.231630319
419,5,0.099568569,0.183835709,0.189627351,0.087078635,0.011689904,0.004558205,68.09441513,11810,0.046796613,0.972985377,55.70626423,257.1883345,0.216597165
420,5,0.106419773,0.213508958,0.243216775,0.09975981,0.005160402,0.018900175,77.40973287,12610,0.043120936,0.956839541,63.56269607,245.2395799,0.259186124
421,5,0.073713048,0.203355987,0.212395004,0.07626277,0.004370484,0.016837184,24.41974647,11155,0.047528014,0.968087737,54.5473726,243.5154909,0.2239996
422,5,0.096611596,0.202361334,0.22124881,0.08939353,0.004259596,0.018145086,67.37638137,11276,0.047408123,0.962900526,58.30724449,240.8524803,0.242086959
423,5,0.07414255,0.212858219,0.230095522,0.065005737,0.004785653,0.015021013,32.59745046,13278,0.041880178,0.961482181,65.13380794,254.9465757,0.255480223
424,5,0.077342755,0.206910151,0.219469739,0.080615446,0.009797022,0.014354675,25.54327749,12764,0.045551316,0.963704617,62.85930169,256.5689668,0.244999629
425,5,0.134780934,0.209920614,0.179293944,0.095168831,0.016633392,0.008641943,36.11528716,10971,0.048435056,0.967137128,56.9184617,244.932285,0.23238448
426,5,0.102372239,0.211120012,0.203126555,0.080587929,0.008176716,0.019782558,33.0248461,13212,0.04336376,0.964900331,63.07139177,262.004136,0.240726703
